"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,22/04/18,Genoa CFC,Hellas Verona FC,,,"
"E0,22/04/18,Juventus Turin,SSC Napoli,,,"
"E0,22/04/18,Udinese Calcio,FC Crotone,,,"
"E0,22/04/18,SPAL Ferrara,AS Roma,,,"
"E0,22/04/18,US Sassuolo Calcio,ACF Fiorentina,,,"
"E0,22/04/18,SS Lazio,UC Sampdoria,,,"
"E0,29/04/18,Atalanta BC,Genoa CFC,,,"
"E0,29/04/18,Benevento Calcio,Udinese Calcio,,,"
"E0,29/04/18,Bologna FC,AC Milan,,,"
"E0,29/04/18,FC Crotone,US Sassuolo Calcio,,,"
"E0,29/04/18,Hellas Verona FC,SPAL Ferrara,,,"
"E0,29/04/18,ACF Fiorentina,SSC Napoli,,,"
"E0,29/04/18,Torino FC,SS Lazio,,,"
"E0,29/04/18,UC Sampdoria,Cagliari Calcio,,,"
"E0,29/04/18,AS Roma,AC Chievo Verona,,,"
"E0,29/04/18,FC Internazionale Milano,Juventus Turin,,,"
"E0,06/05/18,Cagliari Calcio,AS Roma,,,"
"E0,06/05/18,AC Chievo Verona,FC Crotone,,,"
"E0,06/05/18,Genoa CFC,ACF Fiorentina,,,"
"E0,06/05/18,Juventus Turin,Bologna FC,,,"
"E0,06/05/18,SS Lazio,Atalanta BC,,,"
"E0,06/05/18,AC Milan,Hellas Verona FC,,,"
"E0,06/05/18,SSC Napoli,Torino FC,,,"
"E0,06/05/18,US Sassuolo Calcio,UC Sampdoria,,,"
"E0,06/05/18,SPAL Ferrara,Benevento Calcio,,,"
"E0,06/05/18,Udinese Calcio,FC Internazionale Milano,,,"
"E0,13/05/18,FC Crotone,SS Lazio,,,"
"E0,13/05/18,Bologna FC,AC Chievo Verona,,,"
"E0,13/05/18,Atalanta BC,AC Milan,,,"
"E0,13/05/18,Benevento Calcio,Genoa CFC,,,"
"E0,13/05/18,ACF Fiorentina,Cagliari Calcio,,,"
"E0,13/05/18,Hellas Verona FC,Udinese Calcio,,,"
"E0,13/05/18,FC Internazionale Milano,US Sassuolo Calcio,,,"
"E0,13/05/18,AS Roma,Juventus Turin,,,"
"E0,13/05/18,UC Sampdoria,SSC Napoli,,,"
"E0,13/05/18,Torino FC,SPAL Ferrara,,,"
"E0,20/05/18,AC Chievo Verona,Benevento Calcio,,,"
"E0,20/05/18,Genoa CFC,Torino FC,,,"
"E0,20/05/18,Juventus Turin,Hellas Verona FC,,,"
"E0,20/05/18,SS Lazio,FC Internazionale Milano,,,"
"E0,20/05/18,Cagliari Calcio,Atalanta BC,,,"
"E0,20/05/18,SSC Napoli,FC Crotone,,,"
"E0,20/05/18,US Sassuolo Calcio,AS Roma,,,"
"E0,20/05/18,SPAL Ferrara,UC Sampdoria,,,"
