"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,17/02/18,Angers SCO,AS Saint-Étienne,,,"
"E0,17/02/18,Amiens SC,Toulouse FC,,,"
"E0,17/02/18,AS Monaco FC,Dijon FCO,,,"
"E0,17/02/18,Montpellier Hérault SC,EA Guingamp,,,"
"E0,17/02/18,OGC Nice,FC Nantes,,,"
"E0,17/02/18,Olympique de Marseille,FC Girondins de Bordeaux,,,"
"E0,17/02/18,Paris Saint-Germain,RC Strasbourg Alsace,,,"
"E0,17/02/18,ES Troyes AC,FC Metz,,,"
"E0,24/02/18,OSC Lille,Angers SCO,,,"
"E0,24/02/18,EA Guingamp,FC Metz,,,"
"E0,24/02/18,Dijon FCO,SM Caen,,,"
"E0,24/02/18,FC Girondins de Bordeaux,OGC Nice,,,"
"E0,24/02/18,FC Nantes,Amiens SC,,,"
"E0,24/02/18,Olympique Lyonnais,AS Saint-Étienne,,,"
"E0,24/02/18,Paris Saint-Germain,Olympique de Marseille,,,"
"E0,24/02/18,Stade Rennais FC,ES Troyes AC,,,"
"E0,24/02/18,RC Strasbourg Alsace,Montpellier Hérault SC,,,"
"E0,24/02/18,Toulouse FC,AS Monaco FC,,,"
"E0,03/03/18,FC Metz,Toulouse FC,,,"
"E0,03/03/18,SM Caen,RC Strasbourg Alsace,,,"
"E0,03/03/18,Angers SCO,EA Guingamp,,,"
"E0,03/03/18,Amiens SC,Stade Rennais FC,,,"
"E0,03/03/18,AS Monaco FC,FC Girondins de Bordeaux,,,"
"E0,03/03/18,Montpellier Hérault SC,Olympique Lyonnais,,,"
"E0,03/03/18,OGC Nice,OSC Lille,,,"
"E0,03/03/18,Olympique de Marseille,FC Nantes,,,"
"E0,03/03/18,AS Saint-Étienne,Dijon FCO,,,"
"E0,03/03/18,ES Troyes AC,Paris Saint-Germain,,,"
"E0,10/03/18,OSC Lille,Montpellier Hérault SC,,,"
"E0,10/03/18,EA Guingamp,OGC Nice,,,"
"E0,10/03/18,Dijon FCO,Amiens SC,,,"
"E0,10/03/18,FC Girondins de Bordeaux,Angers SCO,,,"
"E0,10/03/18,FC Nantes,ES Troyes AC,,,"
"E0,10/03/18,Olympique Lyonnais,SM Caen,,,"
"E0,10/03/18,Paris Saint-Germain,FC Metz,,,"
"E0,10/03/18,Stade Rennais FC,AS Saint-Étienne,,,"
"E0,10/03/18,RC Strasbourg Alsace,AS Monaco FC,,,"
"E0,10/03/18,Toulouse FC,Olympique de Marseille,,,"
"E0,17/03/18,FC Metz,FC Nantes,,,"
"E0,17/03/18,FC Girondins de Bordeaux,Stade Rennais FC,,,"
"E0,17/03/18,Angers SCO,SM Caen,,,"
"E0,17/03/18,Amiens SC,ES Troyes AC,,,"
"E0,17/03/18,AS Monaco FC,OSC Lille,,,"
"E0,17/03/18,Montpellier Hérault SC,Dijon FCO,,,"
"E0,17/03/18,OGC Nice,Paris Saint-Germain,,,"
"E0,17/03/18,Olympique de Marseille,Olympique Lyonnais,,,"
"E0,17/03/18,AS Saint-Étienne,EA Guingamp,,,"
"E0,17/03/18,Toulouse FC,RC Strasbourg Alsace,,,"
"E0,01/04/18,SM Caen,Montpellier Hérault SC,,,"
"E0,01/04/18,EA Guingamp,FC Girondins de Bordeaux,,,"
